"Date","Price","Open","High","Low","Vol.","Change %"
"04/27/2025","3.668","3.151","3.674","3.056","439.48K","17.79%"
"04/20/2025","3.114","3.367","3.391","3.007","510.76K","-8.68%"
"04/13/2025","3.410","3.631","3.749","3.356","370.55K","-6.55%"
"04/06/2025","3.649","3.882","4.032","3.446","632.96K","-7.50%"
"03/30/2025","3.945","4.289","4.358","3.926","342.55K","-2.95%"
"03/23/2025","4.065","3.880","4.100","3.689","363.48K","2.14%"
"03/16/2025","3.980","4.124","4.259","3.864","785.59K","-3.02%"
"03/09/2025","4.104","4.467","4.901","3.955","1.01M","-7.86%"
"03/02/2025","4.454","3.825","4.588","3.810","713.80K","16.17%"
"02/23/2025","3.834","4.065","4.212","3.814","490.03K","-9.45%"
"02/16/2025","4.234","3.614","4.476","3.554","1.02M","13.66%"
"02/09/2025","3.725","3.406","3.801","3.352","1.12M","12.57%"
"02/02/2025","3.309","3.230","3.435","3.161","992.67K","8.71%"
"01/26/2025","3.044","3.785","3.827","2.990","474.01K","-24.41%"
"01/19/2025","4.027","3.815","4.050","3.711","547.10K","2.00%"
"01/12/2025","3.948","4.347","4.369","3.736","929.56K","-1.03%"
"01/05/2025","3.989","3.554","4.018","3.427","973.85K","18.93%"
"12/29/2024","3.354","3.657","4.201","3.330","903.64K","-4.55%"
"12/22/2024","3.514","3.869","4.010","3.370","262.20K","-6.24%"
"12/15/2024","3.748","3.210","3.828","3.091","1.01M","14.27%"
"12/08/2024","3.280","3.260","3.559","3.069","1.31M","11.91%"
"12/01/2024","2.931","3.085","3.131","2.864","348.02K","-12.85%"
"11/24/2024","3.363","3.356","3.500","3.175","489.07K","7.48%"
"11/17/2024","3.129","2.925","3.563","2.832","913.93K","10.84%"
"11/10/2024","2.823","2.770","3.020","2.688","1.11M","5.77%"
"11/03/2024","2.669","2.560","2.818","2.514","835.95K","0.23%"
"10/27/2024","2.663","2.505","2.919","2.200","606.79K","4.02%"
"10/20/2024","2.560","2.220","2.582","2.210","705.20K","13.37%"
"10/13/2024","2.258","2.624","2.625","2.248","769.62K","-14.21%"
"10/06/2024","2.632","2.827","2.839","2.588","909.42K","-7.78%"
"09/29/2024","2.854","2.899","3.019","2.825","787.46K","-1.65%"
"09/22/2024","2.902","2.462","2.932","2.458","506.64K","19.23%"
"09/15/2024","2.434","2.298","2.460","2.223","825.50K","5.60%"
"09/08/2024","2.305","2.220","2.407","2.125","978.92K","-11.24%"
"09/01/2024","2.597","2.512","2.615","2.439","295.08K","22.10%"
"08/25/2024","2.127","2.004","2.171","1.856","407.97K","5.19%"
"08/18/2024","2.022","2.125","2.278","2.005","649.95K","-4.76%"
"08/11/2024","2.123","2.173","2.301","2.111","879.52K","-0.93%"
"08/04/2024","2.143","1.950","2.187","1.882","947.48K","8.95%"
"07/28/2024","1.967","2.016","2.149","1.856","709.02K","-1.94%"
"07/21/2024","2.006","2.104","2.270","1.994","429.46K","-5.73%"
"07/14/2024","2.128","2.273","2.285","2.015","794.39K","-8.63%"
"07/07/2024","2.329","2.270","2.448","2.249","715.94K","-0.89%"
"06/30/2024","2.350","2.581","2.599","2.347","372.57K","-9.65%"
"06/23/2024","2.601","2.670","2.844","2.594","416.53K","-3.84%"
"06/16/2024","2.705","2.846","2.948","2.672","565.71K","-6.11%"
"06/09/2024","2.881","2.980","3.159","2.862","1.09M","-1.27%"
"06/02/2024","2.918","2.645","2.967","2.573","1.06M","12.79%"
"05/26/2024","2.587","2.503","2.682","2.417","387.87K","2.66%"
"05/19/2024","2.520","2.659","2.924","2.493","738.74K","-4.04%"
"05/12/2024","2.626","2.250","2.654","2.214","908.42K","16.61%"
"05/05/2024","2.252","2.170","2.344","2.133","846.39K","5.14%"
